Year,Region,Ad_Spend_Nominal ,GDP_Nominal (billion),Exchange_Rate,Ad_Spend_EUR,GDP_EUR,Percent_Ad_Spend,Inflation,Population
2007,UK,,1544.637,0.68434,,2257.119,,2.3,61319075
2007,EU,,10788.3462,,,10788.346,,2.4,438277869
2008,UK,3.36,1593.6,0.79628,4.220,2001.306,0.210843373,3.6,61823772
2008,EU,14.90,11136.8393,,14.900,11136.839,0.133790204,3.7,439805662
2009,UK,3.69,1548.802,0.89094,4.142,1738.391,0.238248659,2.2,62260486
2009,EU,16.20,10650.8431,,16.200,10650.843,0.152100635,0.8,440917841
2010,UK,4.24,1608.553,0.85784,4.943,1875.120,0.263590942,3.3,62759456
2010,EU,19.20,11047.423,,19.200,11047.423,0.173796188,1.8,442064109
2011,UK,4.98,1662.59,0.86788,5.738,1915.691,0.299532657,4.5,63285145
2011,EU,22.40,11407.2867,,22.400,11407.287,0.196365714,2.9,441265066
2011,Netherlands,,656.013,,,656.013,,2.5,16693074
2012,UK,5.61,1713.715,0.81087,6.918,2113.428,0.327358983,2.8,63710843
2012,EU,24.90,11466.415,,24.900,11466.415,0.217155929,2.6,441909106
2012,Netherlands,1.16,658.232,,1.160,658.232,0.176229658,2.8,16754963
2013,UK,6.44,1781.361,0.84926,7.583,2097.545,0.361521331,2.6,64138721
2013,EU,27.90,11594.2821,,27.900,11594.282,0.240635856,1.3,442342482
2013,Netherlands,1.26,665.567,,1.260,665.567,0.189312271,2.6,16804430
2013,France,,2120.3519,,,2120.352,,1,65735961
2014,UK,7.55,1862.514,0.80612,9.366,2310.467,0.40536608,1.5,64619493
2014,EU,31.10,11867.2024,,31.100,11867.202,0.26206682,0.4,443097901
2014,Netherlands,1.40,678.627,,1.400,678.627,0.206298895,0.3,16865008
2014,France,3.05,2153.7331,,3.050,2153.733,0.141614576,0.6,66276671
2015,UK,8.62,1916.451,0.72584,11.876,2640.322,0.449789742,0,65088058
2015,EU,35.20,12308.1932,,35.200,12308.193,0.285988361,0.1,443950469
2015,Netherlands,1.51,699.175,,1.510,699.175,0.21596882,0.2,16939925
2015,France,3.22,2201.4016,,3.220,2201.402,0.146270449,0.1,66512558
2016,UK,10.11,1991.645,0.81948,12.337,2430.377,0.507620585,0.7,65607141
2016,EU,39.50,12638.2724,,39.500,12638.272,0.312542717,0.2,444878536
2016,Netherlands,1.68,720.175,,1.680,720.175,0.233276634,0.1,17030314
2016,France,3.45,2231.8192,,3.450,2231.819,0.154582414,0.3,66688563
2017,UK,11.68,2082.482,0.87667,13.323,2375.446,0.560869194,2.7,65965992
2017,EU,44.70,13169.3709,,44.700,13169.371,0.339423958,1.6,445521630
2017,Netherlands,1.83,750.861,,1.830,750.861,0.243720209,1.3,17131295
2017,France,4.09,2291.6805,,4.090,2291.681,0.17847165,1.2,66883314
2018,UK,13.44,2152.304,0.88471,15.191,2432.779,0.624447104,2.5,66288927
2018,EU,50.90,13628.6465,,50.900,13628.647,0.373478027,1.8,446298731
2018,Netherlands,1.96,787.273,,1.960,787.273,0.248960653,1.6,17231622
2018,France,4.90,2355.3628,,4.900,2355.363,0.208035892,2.1,67125071
2019,UK,15.69,2233.921,0.87777,17.875,2544.996,0.7023525,1.8,66630707
2019,EU,57.20,14122.7724,,57.200,14122.772,0.405019626,1.4,447242570
2019,Netherlands,2.21,829.767,,2.210,829.767,0.266339828,2.7,17344876
2019,France,5.97,2432.2068,,5.970,2432.207,0.245456102,1.3,67349922
2020,UK,16.47,2103.486,0.8897,18.512,2364.264,0.782985958,0.9,66744067
2020,EU,60.80,13578.8153,,60.800,13578.815,0.447756293,0.7,447510681
2020,Netherlands,2.35,816.463,,2.350,816.463,0.287826883,1.1,17441500
2020,France,6.18,2318.2762,,6.180,2318.276,0.266577382,0.5,67569466
2021,UK,23.47,2285.4,0.8596,27.303,2658.678,1.026953706,2.6,66983488
2021,EU,79.30,14792.2781,,79.300,14792.278,0.536090516,2.9,447094101
2021,Netherlands,3.18,891.55,,3.180,891.550,0.356682183,2.8,17533048
2021,France,7.68,2508.1023,,7.680,2508.102,0.306207606,2.1,67878650
2022,UK,26.10,2526.428,0.85276,30.607,2962.648,1.033079114,9.1,67603461
2022,EU,87.20,16169.7853,,87.200,16169.785,0.539277414,9.2,448644751
2022,Netherlands,3.59,993.82,,3.590,993.820,0.361232416,11.6,17700981
2022,France,8.62,2653.9972,,8.620,2653.997,0.324793108,5.9,68153150
2023,UK,29.60,2711.185,0.86979,34.031,3117.057,1.091773523,7.3,68265209
2023,EU,102.50,17257.484,,102.500,17257.484,0.593945212,6.4,449388819
2023,Netherlands,3.75,1050.133,,3.750,1050.133,0.357097625,4.1,17877121
2023,France,9.59,2826.5415,,9.590,2826.542,0.339283892,5.7,68341348
2024,UK,35.50,2850.989,0.84662,41.931,3367.495,1.245181935,2.5,69517207
2024,EU,118.90,18016.1599,,118.900,18016.160,0.659963059,2.6,450807117
2024,Netherlands,4.33,1122.459,,4.330,1122.459,0.385760193,3.2,17994238
2024,France,10.97,2919.8999,,10.970,2919.900,0.375697811,2.3,68521113
